조사년월,동태코드,물가지수,가중치
2015-04-01,31012302AA,97,1
2015-04-01,30713102AA,103,1
2015-04-01,30511102AA,119,1
2015-04-01,30941301AA,95,1
2015-04-01,30713103AA,97,1
2015-04-01,30722105AA,101,1
2015-04-01,30711201AA,96,1
2015-04-01,30624301AA,96,1
2015-04-01,30711301AA,96,1
2015-04-01,30712401AA,96,1
2015-04-01,30322102AA,98,1
2015-04-01,30521108AA,99,1
2015-04-01,30521107AA,101,1
2015-04-01,30221101AA,98,1
2015-04-01,30511103AA,103,1
2015-04-01,30712501AA,97,1
2015-04-01,30412201AA,107,1
2015-04-01,30511202AA,105,1
2015-04-01,30521110AA,102,1
2015-04-01,30931101AA,96,1
2015-04-01,30722104AA,99,1
2015-04-01,30581102AA,97,1
2015-04-01,31213203AA,99,1
2015-04-01,30212102AA,98,1
2015-04-01,30511401AA,106,1
2015-04-01,30531102AA,98,1
2015-04-01,30521202AA,95,1
2015-04-01,30563101AA,96,1
2015-04-01,31211104AA,96,1
2015-04-01,31121202AA,95,1
2015-04-01,31015301AA,96,1
2015-04-01,31015101AA,97,1
2015-04-01,30911203AA,96,1
2015-04-01,31012301AA,96,1
2015-04-01,30112102AA,99,1
2015-04-01,30412301AA,106,1
2015-04-01,30322101AA,99,1
2015-04-01,30531101AA,99,1
2015-04-01,30712702AA,98,1
2015-04-01,30114201AA,100,1
2015-04-01,30581101AA,98,1
2015-04-01,30563302AA,101,1
2015-04-01,30521102AA,106,1
2015-04-01,31012303AA,97,1
2015-04-01,30571103AA,97,1
2015-04-01,31211301AA,96,1
2015-04-01,31213202AA,97,1
2015-04-01,31211103AA,96,1
2015-04-01,30911102AA,96,1
2015-04-01,30721302AA,109,1
2015-04-01,30722102AA,106,1
2015-04-01,30572201AA,95,1
2015-04-01,31213205AA,96,1
2015-04-01,31013101AA,98,1
2015-04-01,30412101AA,109,1
2015-04-01,30563301AA,96,1
2015-04-01,30551101AA,96,1
2015-04-01,31211101AA,94,1
2015-04-01,30932101AA,98,1
2015-04-01,31311301AA,97,1
2015-04-01,31011101AA,97,1
2015-04-01,31012101AA,96,1
2015-04-01,30521103AA,112,1
2015-04-01,30721402AA,100,1
2015-04-01,30214103AA,97,1
2015-04-01,30712201AA,99,1
2015-04-01,30413201AA,113,1
2015-04-01,10141101AA,90,1
2015-04-01,31312601AA,96,1
2015-04-01,31213204AA,96,1
2015-04-01,30511203AA,100,1
2015-04-01,31011102AA,97,1
2015-04-01,30952101AA,96,1
2015-04-01,31116101AA,96,1
2015-04-01,31121203AA,99,1
2015-04-01,30721101AA,105,1
2015-04-01,30714101AA,101,1
2015-04-01,30213302AA,97,1
2015-04-01,30213301AA,94,1
2015-04-01,30511304AA,101,1
2015-04-01,30961102AA,97,1
2015-04-01,30951302AA,96,1
2015-04-01,31016101AA,97,1
2015-04-01,30714103AA,103,1
2015-04-01,30713101AA,104,1
2015-04-01,30712502AA,101,1
2015-04-01,31016301AA,98,1
2015-04-01,30214202AA,96,1
2015-04-01,30941201AA,97,1
2015-04-01,31113202AA,94,1
2015-04-01,30911202AA,100,1
2015-04-01,30911103AA,96,1
2015-04-01,30814301AA,97,1
2015-04-01,30712701AA,111,1
2015-04-01,30511302AA,102,1
2015-04-01,31114102AA,96,1
2015-04-01,30214502AA,96,1
2015-04-01,30622101AA,96,1
2015-04-01,31014101AA,99,1
2015-04-01,30911201AA,106,1
2015-04-01,30511403AA,104,1
2015-04-01,30961201AA,98,1
2015-04-01,31211201AA,96,1
2015-04-01,30214501AA,96,1
2015-04-01,30214102AA,96,1
2015-04-01,30212101AA,96,1
2015-04-01,10112201AA,96,1
2015-04-01,31114101AA,96,1
2015-04-01,31115102AA,97,1
2015-04-01,31015302AA,95,1
2015-04-01,30722101AA,102,1
2015-04-01,30412601AA,115,1
2015-04-01,31211102AA,95,1
2015-04-01,31115101AA,96,1
2015-04-01,30714102AA,103,1
2015-04-01,30131101AA,96,1
2015-04-01,_AA,99,1
2015-04-01,30721301AA,97,1
2015-04-01,30722201AA,102,1
2015-04-01,30571102AA,99,1
2015-04-01,30712101AA,99,1
2015-04-01,31213201AA,96,1
2015-04-01,30562101AA,99,1
2015-04-01,30521101AA,102,1
2015-04-01,31211105AA,97,1
2015-04-01,31124101AA,98,1
2015-04-01,30921101AA,102,1
2015-04-01,30811201AA,95,1
2015-04-01,30221401AA,96,1
2015-04-01,30951201AA,99,1
2015-04-01,31122102AA,96,1
2015-04-01,31012201AA,96,1
2015-04-01,30722202AA,98,1
2015-04-01,30571105AA,97,1
2015-04-01,31213101AA,97,1
2015-04-01,30511305AA,101,1
2015-04-01,31111101AA,96,1
2015-04-01,30115201AA,97,1
2015-04-01,30112101AA,100,1
2015-04-01,30511402AA,97,1
2015-04-01,30521201AA,95,1
2015-04-01,30561101AA,99,1
2015-04-01,30961101AA,96,1
2015-04-01,30952201AA,96,1
2015-04-01,31121201AA,95,1
2015-04-01,30911104AA,99,1
2015-04-01,30911101AA,96,1
2015-04-01,30212301AA,98,1
2015-04-01,31124201AA,96,1
2015-04-01,30814402AA,102,1
2015-04-01,30214101AA,97,1
2015-05-01,30714104AA,98,1
2015-05-01,30722103AA,104,1
2015-05-01,30721401AA,99,1
2015-05-01,30211101AA,99,1
2015-05-01,31111102AA,96,1
2015-05-01,30521105AA,111,1
2015-05-01,30721501AA,100,1
2015-05-01,30413101AA,97,1
2015-05-01,30412801AA,104,1
2015-05-01,10142101AA,96,1
2015-05-01,30571101AA,97,1
2015-05-01,30941302AA,96,1
2015-05-01,31122101AA,98,1
2015-05-01,30921102AA,101,1
2015-05-01,30814601AA,98,1
2015-05-01,31213207AA,98,1
2015-05-01,30562201AA,98,1
2015-05-01,31116201AA,97,1
2015-05-01,31113201AA,96,1
2015-05-01,31113101AA,96,1
2015-05-01,30814401AA,99,1
2015-05-01,30712101AA,98,1
2015-05-01,31213201AA,96,1
2015-05-01,30562101AA,100,1
2015-05-01,30521101AA,108,1
2015-05-01,31211105AA,98,1
2015-05-01,31124101AA,98,1
2015-05-01,30213201AA,95,1
2015-05-01,31311201AA,97,1
2015-05-01,31012302AA,97,1
2015-05-01,30713102AA,103,1
2015-05-01,30511102AA,116,1
2015-05-01,30941301AA,97,1
2015-05-01,30713103AA,97,1
2015-05-01,30722105AA,103,1
2015-05-01,30711201AA,97,1
2015-05-01,30624301AA,97,1
2015-05-01,30711301AA,97,1
2015-05-01,30712401AA,96,1
2015-05-01,30322102AA,98,1
2015-05-01,30521108AA,103,1
2015-05-01,30521107AA,99,1
2015-05-01,30221101AA,98,1
2015-05-01,30511103AA,117,1
2015-05-01,30712501AA,97,1
2015-05-01,30412201AA,119,1
2015-05-01,30511202AA,111,1
2015-05-01,30521110AA,103,1
